pmid	year	title_short	current_design	current_target_population	current_delivery_model	current_followup_reporting_level	current_followup_completion_pct	n_invited	n_participated	uptake_pct	acceptability_reported	cost_reported	candidate_core_status	candidate_reason	manual_curator_decision	manual_curator_notes	manual_core_decision	manual_decision_reason	manual_evidence_text	manual_followup_level_if_changed	manual_followup_pct_if_changed	manual_notes	curator_id	curation_date
39665400	2026	Self-Collection for HPV-Based Cervical Screening: Knowledge and Attitudes of Australian Health Care Workers in an Area W	observational	never_screened	unk	none					Y	N	candidate_non_core	preference_willingness_only;survey_only_without_extractable_implementation_result			NON_CORE	Survey of healthcare workers views, not implementation results.	...surveyed Australian health care workers... on their views about self-collection.				GC	2026-06-13
39846135	2026	Focus Groups With Guatemalan Community Leaders About Barriers to Cervical Cancer Prevention and Control.	other	other	outreach_event_distribution	none					N	N	candidate_non_core	qualitative_or_interview_only_without_extractable_implementation_result			NON_CORE	Qualitative barriers study with community leaders.	Focus Groups With Guatemalan Community Leaders ...				GC	2026-06-13
40567147	2026	Ripple effect of temporary self-sampling HPV test on screening uptake in the next round: A secondary analysis of the ACCESS randomized controlled trial.	secondary_RCT_analysis	nonattenders	mail_to_home_return_mail	none		15107			N	N	candidate_core	Final 58-record adjudication			CORE	Secondary analysis of ACCESS RCT in women not screened for at least three years; reports subsequent-round uptake after a self-sampling HPV intervention.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
41065509	2026	Under which realistic circumstances is hrHPV self-sampling increasing cervical screening effectiveness in a partly vacci	model	nonattenders	mail_to_home_return_mail	none			100.0	0.0	N	Y	candidate_non_core	model_or_economic_model			NON_CORE	Microsimulation modelling study.	We used the STDSIM-MISCAN-Cervix microsimulation model...				GC	2026-06-13
41118505	2026	Underscreened Women's Reactions to At-Home Self-Collected Human Papillomavirus Test Result Delivery.	observational	underscreened_general	outreach_event_distribution	referral_only			93.0		Y	N	candidate_core	extractable_implementation_or_cascade_result										
41380156	2026	Preferences Among U.S. Women for Cervical Cancer Screening with Self-Collected Specimens for Human Papillomavirus Testin	observational	never_screened	unk	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41459933	2026	Performance of a novel, urine-based test for the detection of cervical human papillomavirus infection.	other	underscreened_general	outreach_event_distribution	none					N	Y	manual_review	insufficient_structured_signal			NON_CORE	Assay validation only; urine-based test performance.	...developed and evaluated the performance of the Phase HPV Urine Test...				GC	2026-06-13
41495727	2026	Is there a difference in sample adequacy when vaginal HPV DNA samples are self-collected at home, a health post, or a pr	other	other	outreach_event_distribution	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
41505134	2026	Streamlined Self-Collection Screening for Sexually Transmitted Infections and Human Papillomavirus: A Single-Group Secon	individual_RCT	underscreened_general	mail_to_home_return_mail	none		327.0			Y	N	candidate_core	extractable_implementation_or_cascade_result										
41545215	2026	Comparative efficacy, feasibility and acceptability of HPV DNA testing on first-void urine versus self-collected vaginal	observational	other	clinic_pickup_return_clinic	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41546783	2026	Leveraging the role of families in decision-making to inform a program of HPV-based self-collection for cervical screeni	program_evaluation	other	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41561556	2026	Understanding knowledge, beliefs, values and barriers towards cervical cancer screening and self-sampling amongst migran	observational	migrant_minority	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41611360	2026	Uptake and performance of self-collection offered through primary care to all eligible participants in a national cervic	other	underscreened_general	clinic_pickup_return_clinic	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
