record_id	pmid	doi	year	title_short	country_or_region	income_level	target_population	target_population_notes	setting	delivery_model	return_channel	followup_support	self_sampling_confirmed	assay_type	triage_pathway	design	n_invited	n_participated	uptake_pct	followup_closure_reported	followup_reporting_level	followup_completion_pct	followup_notes	equity_stratified_results_reported	acceptability_reported	cost_reported	key_barriers_facilitators	limitations
PMID_41546783	41546783	10.1007/s10552-025-02108-x	2026	Leveraging the role of families in decision-making to inform a program of HPV-based self-collection for cervical screeni	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	program_evaluation				Y	referral_only			N	Y	N		Curation note: 明确定位在 community-based。.
PMID_41561556	41561556	10.1136/bmjph-2025-003254	2026	Understanding knowledge, beliefs, values and barriers towards cervical cancer screening and self-sampling amongst migran	UNK	UNK	migrant_minority		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			N	Y	N		Curation note: 社区领导参与是典型的 Outreach。.
PMID_41611360	41611360	10.1016/s2468-2667(25)00304-4	2026	Uptake and performance of self-collection offered through primary care to all eligible participants in a national cervic	Australia	HIC	underscreened_general		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Curation note: 明确通过诊所入口提供。.
PMID_41621746	41621746	10.1016/j.jcpo.2026.100710	2026	A pilot study on the acceptability and feasibility of HPV self-sampling for cervical cancer screening among women attending urban hospitals in Kumasi, Ghana.	Ghana	LMIC	rural_low_access	Low-resource country pilot in urban hospitals.	clinic	clinic_pickup_return_clinic	clinic	in_person	Y	DNA	VIA	cross_sectional_pilot	60	60	100.0	Y	referral_only		Reports VIA confirmation after self-collection; no post-positive completion denominator.	N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_41677057	41677057	10.1177/17579139251412200	2026	Uptake of cervical screening and attitudes to HPV self-sampling in Irish Traveller women, an ethnic minority group.	UNK	UNK	migrant_minority		community_outreach	chw_door_to_door	mixed	unk	Y	UNK	unk	observational		483.0		N	none			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41728465	41728465	10.7759/cureus.102046	2026	Role of Training Paramedical Staff for Cervical Cancer Screening via Human Papillomavirus Self-Sampling in Remote Mounta	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	other				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41744859	41744859	10.3390/curroncol33020095	2026	Transitioning from Cytology to HPV Test-Based Primary Cervical Screening in Canada: A Population-Based Survey of Women's	Canada	HIC	underscreened_general		home_mail	clinic_pickup_return_clinic	mail	unk	Y	UNK	cytology	observational				Y	referral_only			N	Y	N		Curation note: 设定在 primary care 诊所语境下。.
PMID_41782308	41782308	10.1002/cam4.71654	2026	Native American Women's Willingness to Screen for Both Cervical and Colorectal Cancer at Home.	UNK	UNK	other		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	unk	observational		45.0		N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41787233	41787233	10.1007/s10900-026-01554-1	2026	Acceptability and Feasibility of Home-Based Human Papillomavirus Self-Testing as Primary Screening for Cervical Cancer D	UNK	UNK	other		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	cytology	observational		58.0		Y	referral_only			N	Y	N		Curation note: 显式提及 mailed package，判定为 Mail。.
PMID_39235543	39235543	10.1007/s10900-024-01401-1	2025	Evaluation of Human Papillomavirus Vaccination and Cancer Prevention Behaviors among LGBTQI + Individuals: A Cross-Secti	UNK	UNK	underscreened_general		other	mail_to_home_return_mail	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 邮寄。.
PMID_39332630	39332630	10.1016/j.gofs.2024.09.004	2025	[How do women in Réunion Island want to perform HPV test on vaginal sampling as part of cervical cancer screening?].	UNK	UNK	other		home_mail	unk	unk	unk	Y	UNK	unk	observational	202.0			Y	referral_only			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_39412108	39412108	10.1002/ijc.35222	2025	Acceptability and validity of HPV self-sampling for cervical cancer screening among women living in different ecological	UNK	UNK	other		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 诊所系统。.
PMID_39445831	39445831	10.1158/1055-9965.epi-24-0999	2025	A Mail-Based HPV Self-Collection Program to Increase Cervical Cancer Screening in Appalachia: Results of a Group Randomi	United States	HIC	underscreened_general		home_mail	mail_to_home_return_mail	mail	reminders	Y	DNA	cytology	individual_RCT	2022.0		10.5	N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_39545880	39545880	10.1016/j.annemergmed.2024.10.002	2025	Self-Collection for Primary HPV Testing: Acceptability in a Large Urban Emergency Department.	United States	HIC	other		other	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 家访外展。.
PMID_39579017	39579017	10.1002/ijc.35263	2025	Participation and relative cost of attendance by direct-mail compared to opt-in invitation strategy for HPV self-samplin	UNK	UNK	nonattenders		primary_care	mail_to_home_return_mail	in_person	unk	Y	UNK	unk	individual_RCT	49393.0	2426.0	5.2	Y	referral_only			N	N	Y		Curation note: 邮寄。.
PMID_39617104	39617104	10.1016/j.amepre.2024.11.012	2025	Modeling HPV Self-Sampling Impact on Cervical Cancer in East African Immigrants.	United States	HIC	migrant_minority		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	UNK	direct_colposcopy	model				N	none		Modeling study using assumed screening/colposcopy adherence, not observed implementation follow-up.	N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_39857972	39857972	10.3390/cancers17020190	2025	Beliefs and Perceptions in Attending the Cervical Screening: The COMUNISS Project Experience.	UNK	UNK	underscreened_general		home_mail	outreach_event_distribution	unk	unk	Y	UNK	unk	observational				N	none			N	Y	N		Curation note: 乡村健康小组外展。.
PMID_39970046	39970046	10.1177/21501319251320172	2025	Assessing the Acceptability of a Vaginal Self-Sampling Device in a Rural Parish of Cuenca, Ecuador.	UNK	UNK	other		community_outreach	unk	mixed	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 实验室验证。.
PMID_39970849	39970849	10.1016/j.canep.2025.102776	2025	Analysis of time trends of prevalence of high-risk HPV infections, high grade cervical precancer and cervical cancer dis	UNK	UNK	other		other	clinic_pickup_return_clinic	unk	unk	Y	DNA	cytology	program_evaluation				N	none			N	N	N		Curation note: 医院/诊所环境。.
PMID_40033233	40033233	10.1186/s12879-025-10714-y	2025	Comparative analysis of SD biosensor standard™ M10 HPV and seegene anyplex™ II HPV HR for detecting high-risk human papi	UNK	UNK	other		primary_care	outreach_event_distribution	in_person	unk	Y	DNA	cytology	other				N	none			N	N	N		Curation note: 明确的社区机构分发。.
PMID_40132158	40132158	10.1177/21501319251320178	2025	General Practitioners' Needs and Preferences Regarding the Provision of Self-sampling Tests for Cervical Cancer Screenin	UNK	UNK	underscreened_general		home_mail	mail_to_home_return_mail	mail	reminders	Y	UNK	cytology	observational				N	none			N	Y	Y		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40133975	40133975	10.1186/s12905-025-03652-z	2025	Efficacy and acceptability of a self-collected medical grade tampon as a novel vaginal sample collection tool for the de	UNK	UNK	other		other	unk	unk	unk	Y	UNK	cytology	individual_RCT				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40150899	40150899	10.1111/hex.70191	2025	Recommendations for a Communication Strategy to Support Informed Decision-Making About Self or Clinician Sampling for Ce	UNK	UNK	migrant_minority		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40192218	40192218	10.1111/aogs.15112	2025	Self-collected vaginal HPV samples for long-term non-attendees in the Swedish organized cervical cancer screening progra	UNK	UNK	other		home_mail	home_mail	unk	unk	Y	DNA	direct_colposcopy	other		71.0	9.4	Y	completion_reported	80.2	HPV-positive women: 80.2% attended follow-up.	N	N	N		Curation note: Sending of self-sampling kits to non-attendees in Sweden. Originally labeled as unk.
PMID_40209155	40209155	10.1097/lgt.0000000000000887	2025	Self-Collected Swabs for Primary HPV Screening in an Underscreened Population in Hawaii.	United States	HIC	underscreened_general		other	clinic_pickup_return_clinic	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 医生直接提供。.
PMID_40214249	40214249	10.1128/jcm.01852-24	2025	Diagnostic accuracy of the Daye diagnostic tampon compared to clinician-collected and self-collected vaginal swabs for d	UNK	UNK	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	cytology	other				N	none			Y	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40238291	40238291	10.3390/ijerph22030317	2025	HPV Self-Sampling Promotion Among African American (AA) and Sub-Saharan African (SAI) Immigrant Women: Adaptation and Us	UNK	UNK	underscreened_general		community_outreach	mail_to_home_return_mail	mixed	unk	Y	UNK	cytology	other				N	none			N	Y	N		Curation note: 邮寄。.
PMID_40275341	40275341	10.1186/s12905-025-03740-0	2025	Improving cervical cancer screening participation by introducing HPV vaginal self-sampling to women living with HIV in D	UNK	UNK	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	unk	other		80.0	80.0	Y	completion_reported	40.0	Follow-up compliance among hrHPV-positive women was 40% (4/10).	N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40308366	40308366	10.1089/whr.2025.0006	2025	Acceptability of Vaginal Human Papillomavirus Self-Collection Among Colposcopy Clinic Attendees.	United States	HIC	other		clinic	clinic_pickup_return_clinic	clinic	unk	Y	DNA	unk	acceptability_survey	81	81	100.0	N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40321706	40321706	10.52872/001c.134069	2025	Implementation science research to understand the readiness of a mobile clinic intervention to screen for high-risk HPV 	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			Y	N	N		Curation note: 明确的走访。.
PMID_40359821	40359821	10.1016/j.jiph.2025.102809	2025	Women's perceptions and preferences toward HPV self-sampling in France: A questionnaire within the French CapU4 Trial.	France	HIC	underscreened_general		home_mail	unk	mail	reminders	Y	UNK	unk	individual_RCT			9.1	N	none		Questionnaire response/perceptions study; no post-positive follow-up completion.	N	Y	N		Curation note: 仅为意向调查。.
PMID_40383738	40383738	10.1007/s12672-025-02432-3	2025	Modelling the cost-effectiveness of cervical cancer screening with HPV self-sampling and molecular triage for women aged	UNK	UNK	other		other	unk	unk	unk	Y	UNK	direct_colposcopy	model				Y	referral_only			N	N	Y		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40402507	40402507	10.1097/cej.0000000000000975	2025	Human papillomavirus vaccination, cervical cancer screening, and acceptability of self-sampling: a cross-sectional study	UNK	UNK	migrant_minority		home_mail	unk	unk	unk	Y	UNK	cytology	other				N	none			Y	Y	N		Curation note: 准确性验证，无实施。.
PMID_40403313	40403313	10.1097/aog.0000000000005941	2025	Self-Collection for Human Papillomavirus Testing in Clinical Settings: An Opportunity to Reflect on the Disconnect Betwe	United States	HIC	rural_low_access	rural under-screened	home_mail	clinic_pickup_return_clinic	mail	unk	Y	UNK	cytology	other				Y	referral_only			N	N	N		Curation note: 药店/诊所领取，判定为 Clinic。.
PMID_40427897	40427897	10.3390/ijerph22050783	2025	Barriers and Opportunities for HPV Self-Sampling in Underserved Rural Communities: Insights from a Mixed Methods Study.	UNK	UNK	other		other	mail_to_home_return_mail	unk	unk	Y	UNK	unk	observational				N	none			N	N	N		Curation note: 邮寄。.
PMID_40457337	40457337	10.1186/s12916-025-04149-0	2025	High-risk human papillomavirus testing in first-void urine as a novel and non-invasive cervical cancer screening modalit	UNK	UNK	underscreened_general		primary_care	outreach_event_distribution	in_person	unk	Y	DNA	direct_colposcopy	program_evaluation				Y	referral_only			N	Y	N		Curation note: 集市外展。.
PMID_40598474	40598474	10.1186/s12916-025-04219-3	2025	Exponential uptake of HPV self-collected cervical screening testing 2 years since universal availability in Victoria, Au	Australia	HIC	never_screened		other	clinic_pickup_return_clinic	unk	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Curation note: 诊所路径。.
PMID_40674748	40674748	10.1097/aog.0000000000006003	2025	Implementation of Human Papillomavirus Self-Collection and Barriers to Follow-Up Among Unhoused Individuals in Texas: Th	United States	HIC	underscreened_general		community_outreach	unk	mixed	unk	Y	DNA	direct_colposcopy	observational				Y	referral_only			N	N	N		Curation note: 调查医生看法，无分发。.
PMID_40691200	40691200	10.1038/s41598-025-09292-5	2025	Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural 	UNK	UNK	migrant_minority		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	mRNA	direct_colposcopy	other				Y	referral_only			N	Y	N		Curation note: 嵌入卫生中心。.
PMID_40705442	40705442	10.2196/70251	2025	Design and Validation of a Chatbot-Based Cervical Cancer Screening Decision Aid for Women Experiencing Socioeconomic Dis	France	HIC	other		other	unk	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40726443	40726443	10.1093/eurpub/ckaf122	2025	Targeting under-screened women in cervical cancer: combining self-sampling and human papillomavirus testing with a strat	Portugal	HIC	underscreened_general		home_mail	mail_to_home_return_mail	unk	reminders	Y	DNA	cytology	other		801.0		Y	completion_reported	91.7	hrHPV-positive participants: 11/12 completed gynecological follow-up.	N	N	N		Curation note: 显式邮寄。.
PMID_40735948	40735948	10.1111/1471-0528.18262	2025	SIP 7: Progress in Cervical Cancer Prevention in the UK (2025 Second Edition).	UNK	UNK	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	direct_colposcopy	other			0.0	Y	referral_only			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40750852	40750852	10.1186/s12889-025-23822-w	2025	Acceptability, feasibility and appropriateness of integrating HPV self-sampling for cervical cancer screening into volun	UNK	UNK	migrant_minority		community_outreach	chw_door_to_door	mixed	unk	Y	UNK	cytology	cluster_RCT				N	none			N	Y	Y		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40789299	40789299	10.1016/s2468-2667(25)00172-0	2025	Cervical screening approach of self-collection, point-of-care HPV testing, and same-day colposcopy among Aboriginal and 	Australia	HIC	never_screened		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	program_evaluation	844.0	108.0	36.0	Y	completion_reported	95.0	Oncogenic HPV-positive participants: 21/22 completed same-day colposcopic assessment.	N	N	N		Curation note: 明确的移动外展。.
PMID_40807187	40807187	10.3390/jcm14155569	2025	The Use of Self-Sampling Devices via a Smartphone Application to Encourage Participation in Cervical Cancer Screening: A	UNK	UNK	other		home_mail	unk	unk	unk	Y	DNA	cytology	other				N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40813245	40813245	10.9745/ghsp-d-24-00282	2025	Development of a Cervical Cancer Screening Program in Rural Guatemala.	UNK	UNK	other	Indigenous/minority focus	home_mail	mail_to_home_return_mail	unk	unk	Y	UNK	cytology	program_evaluation				Y	referral_only			N	N	Y		Curation note: 随信附带，判定为 Mail。.
PMID_40844094	40844094	10.25259/ijmr_1770_2024	2025	HPV-DNA testing from self-sampled menstrual blood using M-strip: A proof-of-concept study on feasibility & acceptance of a novel biosampling method.	India	LMIC	other		community	clinic_pickup_return_clinic	clinic	unk	Y	DNA	unk	proof_of_concept	111	111	100.0	N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40846731	40846731	10.1038/s41598-025-16248-2	2025	Southern Vietnamese women's views on HPV vaccination, cervical cancer screening, and HPV self-sampling.	Vietnam	LMIC	rural_low_access		community	unk	unk	unk	Y	DNA	unk	qualitative				N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40864371	40864371	10.1007/s10552-025-02056-6	2025	Group concept mapping to develop a salon-based HPV self-collection intervention.	United States	HIC	migrant_minority	Black women in community intervention-development setting.	community_outreach	outreach_event_distribution	unk	education_navigation	Y	DNA	unk	intervention_development				N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40877387	40877387	10.1038/s41598-025-15957-y	2025	Assessing the feasibility of HPV screening for cervical cancer in pregnant women in Ethiopia.	Ethiopia	LMIC	other	Pregnant women historically excluded from screening in LMIC settings.	clinic	clinic_pickup_return_clinic	clinic	in_person	Y	DNA	VIA	feasibility_study	127	117	92.1	Y	completion_reported	93.1	HPV-positive pregnant women were invited for triage/follow-up; abstract reports 27/29 attendance.	N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40892862	40892862	10.1371/journal.pgph.0005149	2025	The acceptability, safety, and performance of primary cervical screening through self-collected vaginal samples in an ur	UNK	UNK	underscreened_general		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	direct_colposcopy	observational	2256.0	30.0	71.1	Y	referral_only			N	Y	N		Curation note: 嵌入诊所工作流。.
PMID_40895516	40895516	10.1016/j.eclinm.2025.103357	2025	Impact of mode of offer of self-sampling to people overdue cervical screening on screening participation: a randomised c	UNK	UNK	nonattenders		home_mail	unk	mail	reminders	Y	UNK	unk	individual_RCT	123.0	6080.0	1.9	N	none			N	N	N		Curation note: 纯经济性评估，无实施细节。.
PMID_40952305	40952305	10.31557/apjcp.2025.26.9.3469	2025	The Utilization of Human Papillomavirus Testing for Cervical Cancer Screening in Thailand: A Comparison of Screening with and without Self-sampling Samples.	Thailand	LMIC	underscreened_general		organized_screening	mixed_or_multiarm	unk	unk	Y	DNA	unk	retrospective_registry	11925	5056	42.4	N	none			N	N	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40956285	40956285	10.1158/1055-9965.epi-25-0863	2025	Mailing Vaginal or Urine Self-Sampling Kits versus Conventional Invitation Letters: A Randomized Trial to Assess the Effect on Cervical Cancer Screening Attendance.	France	HIC	nonattenders	No screening test recorded for more than 4 years and nonresponse to prior invitation.	organized_screening	mail_to_home_return_mail	mail	reminders	Y	DNA	unk	randomized_trial	13061	3075	23.5	N	none			N	N	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_40991583	40991583	10.1371/journal.pgph.0004763	2025	Acceptability of self-sampling for high-risk HPV DNA testing for primary cervical cancer screening among women in Thyolo	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	other				N	none			N	Y	N		Curation note: 移动医疗单元属于 Outreach。.
PMID_41032297	41032297	10.1001/jamanetworkopen.2025.34960	2025	Cost-Effectiveness of HPV Self-Testing Options for Cervical Cancer Screening.	UNK	UNK	underscreened_general		home_mail	mail_to_home_return_mail	mail	reminders	Y	UNK	cytology	model	355.0			N	none		Economic evaluation of screening completion; no post-positive follow-up completion.	N	N	Y		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41044442	41044442	10.1007/s13187-025-02701-3	2025	Knowledge, Attitudes, and Behaviors Regarding HPV Vaccination and Self-Sampling Among US Young Adults.	UNK	UNK	migrant_minority		other	unk	unk	unk	Y	UNK	unk	observational				N	none			Y	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41048518	41048518	10.3389/fmedt.2025.1458857	2025	Validation of an in-house HPV CerviSens self-sampling kit: comparison against clinician-collected and self-collected samples.	India	LMIC	other		clinic	clinic_pickup_return_clinic	clinic	unk	Y	DNA	unk	diagnostic_validation				N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_41095475	41095475	10.3390/healthcare13192389	2025	African American and African-Born Black Women's Perspectives and Experiences with a Cervical Health Education and HPV-Self Sampling Intervention.	United States	HIC	migrant_minority	African American and African-born Black women.	community_outreach	outreach_event_distribution	unk	education_navigation	Y	DNA	unk	qualitative				N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_41142482	41142482	10.1177/26884844251379035	2025	Perceptions of a Diverse Group of U.S. Women on the Ease of Vaginal Self-Sampling for Cancer Detection.	United States	HIC	migrant_minority		home_mail	unk	unk	unk	Y	UNK	cytology	observational		213.0		N	none			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41161016	41161016	10.1016/j.jcv.2025.105883	2025	Performance of the Alinity m HR HPV assay on self-collected vaginal samples compared to clinician-collected cervical sam	UNK	UNK	underscreened_general		primary_care	unk	in_person	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Curation note: 纯建模研究，无实施。.
PMID_41167263	41167263	10.5858/arpa.2025-0325-oa	2025	Effectiveness of Human Papillomavirus Self-collection for Cervical Cancer Screening in Community Outreach Programs.	UNK	UNK	underscreened_general		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			N	Y	N		Curation note: 通过 GP 诊所提供。.
PMID_41214399	41214399	10.1007/s40615-025-02725-x	2025	"""Mana Motuhake - I am in Charge and Have Control Over my Body"": a Cross-Sectional Survey Describing Māori Participants' "	New Zealand	HIC	migrant_minority		other	unk	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41214745	41214745	10.1186/s13690-025-01749-3	2025	Cervical cancer screening policies and implementation in Uganda - a qualitative study on policymakers', cervical cancer experts' and gynecologists' perspectives.	Uganda	LMIC	rural_low_access		health_system_policy	unk	unk	unk	Y	DNA	unk	qualitative				N	none			N	Y	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_41267012	41267012	10.1186/s12913-025-13488-w	2025	Moroccan and Pakistani women's knowledge and perceptions on cervical cancer screening and HPV self-sampling acceptabilit	Spain	HIC	underscreened_general		home_mail	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			Y	Y	N		Curation note: 显式提到 at home 邀请。.
PMID_41285635	41285635	10.46747/cfp.711112e280	2025	Uptake and feasibility of HPV self-sampling among patients of a Canadian family medicine clinic.	UNK	UNK	migrant_minority		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	direct_colposcopy	program_evaluation				Y	referral_only		Reported HPV self-sampling completion and referral counts after positive results, but not completion of Pap/colposcopy referral.	N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_41321069	41321069	10.1111/hex.70485	2025	Exploring Emotional and Cognitive Perceptions of Cervical Cancer Screening and Self-Sampling Among Vulnerable Romanian W	UNK	UNK	other		other	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Curation note: 针对农村弱势人群的外展讨论。.
PMID_41360484	41360484	10.1136/bmjgh-2025-019061	2025	Participation in cervical cancer screening among migrants and non-migrants in primary healthcare in Lisbon: a register-b	UNK	UNK	migrant_minority		other	clinic_pickup_return_clinic	unk	incentives	Y	UNK	cytology	other			9.6	N	none			Y	N	N		Curation note: 基于诊所系统的注册研究。.
PMID_41408509	41408509	10.1186/s12875-025-03139-8	2025	Opportunistic offer of human papillomavirus (HPV) self-testing in ethnically diverse primary care clinics in Aotearoa Ne	New Zealand	HIC	underscreened_general		home_mail	clinic_pickup_return_clinic	unk	unk	Y	UNK	direct_colposcopy	other		30.0	61.1	Y	referral_only			N	N	N		Curation note: 诊所提供，带回家做，属 Clinic 入口。.
PMID_41412622	41412622	10.1136/bmjopen-2025-103915	2025	Cervical high-risk human papillomavirus infection and its associated risk factors: a community-based cross-sectional stu	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	other	8000.0			N	none			N	N	N		Curation note: 明确的社区模式。.
