pmid	doi	pmcid	title	journal	year	first_author	url
41032297	10.1001/jamanetworkopen.2025.34960	PMC12489673	Cost-Effectiveness of HPV Self-Testing Options for Cervical Cancer Screening.	JAMA network open	2025	Richard T Meenan	https://pubmed.ncbi.nlm.nih.gov/41032297/
40991583	10.1371/journal.pgph.0004763	PMC12459778	Acceptability of self-sampling for high-risk HPV DNA testing for primary cervical cancer screening among women in Thyolo, Malawi: A qualitative study.	PLOS global public health	2025	Hussein H Twabi	https://pubmed.ncbi.nlm.nih.gov/40991583/
40934859	10.1016/j.ygyno.2025.08.018		EUROArray HPV test accuracy for cervical precancer in self- vs. clinician-collected samples using the VALHUDES protocol.	Gynecologic oncology	2025	Eef van den Borst	https://pubmed.ncbi.nlm.nih.gov/40934859/
40895516	10.1016/j.eclinm.2025.103357	PMC12399199	Impact of mode of offer of self-sampling to people overdue cervical screening on screening participation: a randomised controlled trial.	EClinicalMedicine	2025	Anita W W Lim	https://pubmed.ncbi.nlm.nih.gov/40895516/
40892862	10.1371/journal.pgph.0005149	PMC12404364	The acceptability, safety, and performance of primary cervical screening through self-collected vaginal samples in an urban teaching hospital antenatal clinic setting.	PLOS global public health	2025	Su Pei Khoo	https://pubmed.ncbi.nlm.nih.gov/40892862/
40887108	10.1136/bmjgh-2025-019041	PMC12406914	The role of non-medical providers in increasing access to cervical screening: a scoping review.	BMJ global health	2025	Monjura Nisha	https://pubmed.ncbi.nlm.nih.gov/40887108/
40878946	10.1097/lgt.0000000000000907		Feasibility and Acceptability of Human Papillomavirus Based Self-sampling in Underserved Minorities in the United States: A Scoping Review.	Journal of lower genital tract disease	2025	Joyce Zhang	https://pubmed.ncbi.nlm.nih.gov/40878946/
40813245	10.9745/ghsp-d-24-00282	PMC12352939	Development of a Cervical Cancer Screening Program in Rural Guatemala.	Global health, science and practice	2025	Taryn McGinn Valley	https://pubmed.ncbi.nlm.nih.gov/40813245/
40809185	10.1080/11287462.2025.2542593	PMC12344718	Informed consent in cervical cancer screening research in Butajira district, Ethiopia.	Global bioethics = Problemi di bioetica	2025	Lidya Genene Abebe	https://pubmed.ncbi.nlm.nih.gov/40809185/
40789299	10.1016/s2468-2667(25)00172-0		Cervical screening approach of self-collection, point-of-care HPV testing, and same-day colposcopy among Aboriginal and Torres Strait Islander women in remote Western Australia (the PREVENT Project): an implementation study.	The Lancet. Public health	2025	Aime Powell	https://pubmed.ncbi.nlm.nih.gov/40789299/
40726443	10.1093/eurpub/ckaf122	PMC12529258	Targeting under-screened women in cervical cancer: combining self-sampling and human papillomavirus testing with a strategic reminder plan.	European journal of public health	2025	Sara da Graça Pereira	https://pubmed.ncbi.nlm.nih.gov/40726443/
40691200	10.1038/s41598-025-09292-5	PMC12279988	Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural Yunnan, China.	Scientific reports	2025	Rufei Duan	https://pubmed.ncbi.nlm.nih.gov/40691200/
40674748	10.1097/aog.0000000000006003	PMC12276834	Implementation of Human Papillomavirus Self-Collection and Barriers to Follow-Up Among Unhoused Individuals in Texas: The EMPOWER Study.	Obstetrics and gynecology	2025	Parisa N Fallah	https://pubmed.ncbi.nlm.nih.gov/40674748/
40598474	10.1186/s12916-025-04219-3	PMC12220328	Exponential uptake of HPV self-collected cervical screening testing 2 years since universal availability in Victoria, Australia.	BMC medicine	2025	Alvin Lee	https://pubmed.ncbi.nlm.nih.gov/40598474/
40511463	10.3389/fpsyt.2025.1586076	PMC12158934	A pay-it-forward approach to improve feedback rate of HPV-based self-sampling in cervical cancer screening among women in ethnic minority regions of China: a randomized controlled trial protocol.	Frontiers in psychiatry	2025	Xueyuan Zhou	https://pubmed.ncbi.nlm.nih.gov/40511463/
40457337	10.1186/s12916-025-04149-0	PMC12131459	High-risk human papillomavirus testing in first-void urine as a novel and non-invasive cervical cancer screening modality-a Danish diagnostic test accuracy study.	BMC medicine	2025	Mette Tranberg	https://pubmed.ncbi.nlm.nih.gov/40457337/
40427897	10.3390/ijerph22050783	PMC12110964	Barriers and Opportunities for HPV Self-Sampling in Underserved Rural Communities: Insights from a Mixed Methods Study.	International journal of environmental research and public health	2025	Joyline Chepkorir	https://pubmed.ncbi.nlm.nih.gov/40427897/
40415229	10.1002/cam4.70981	PMC12104203	'I Don't Think There Is a One-Size-Fits-All': A Qualitative Study Exploring Healthcare Professional and Service Provider Perspectives of Using Innovative Models of Cervical Screening to Improve Equitable Access to Self-Collection.	Cancer medicine	2025	Claire Bavor	https://pubmed.ncbi.nlm.nih.gov/40415229/
40403313	10.1097/aog.0000000000005941		Self-Collection for Human Papillomavirus Testing in Clinical Settings: An Opportunity to Reflect on the Disconnect Between Guidelines and Clinical Practice.	Obstetrics and gynecology	2025	Christopher M Mayer	https://pubmed.ncbi.nlm.nih.gov/40403313/
40402507	10.1097/cej.0000000000000975		Human papillomavirus vaccination, cervical cancer screening, and acceptability of self-sampling: a cross-sectional study in vulnerable women.	European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)	2025	Ana Fernandes	https://pubmed.ncbi.nlm.nih.gov/40402507/
40359821	10.1016/j.jiph.2025.102809		Women's perceptions and preferences toward HPV self-sampling in France: A questionnaire within the French CapU4 Trial.	Journal of infection and public health	2025	Hélène De Pauw	https://pubmed.ncbi.nlm.nih.gov/40359821/
40349085	10.1186/s40814-025-01648-y	PMC12065264	Juntas Contra el Virus del Papiloma Humano: protocol for a pilot randomized controlled trial of an HPV self-sampling intervention for underscreened Latinas.	Pilot and feasibility studies	2025	Carolyn Y Fang	https://pubmed.ncbi.nlm.nih.gov/40349085/
40321706	10.52872/001c.134069	PMC12048031	Implementation science research to understand the readiness of a mobile clinic intervention to screen for high-risk HPV infections and associated morbidity in Mali and Nigeria.	Journal of global health economics and policy	2025	Kate Klein	https://pubmed.ncbi.nlm.nih.gov/40321706/
40270492	10.3389/fmed.2025.1567509	PMC12014435	Assessment of HPV screening modalities within primary care: a systematic review.	Frontiers in medicine	2025	Yahya Mostafa Waly	https://pubmed.ncbi.nlm.nih.gov/40270492/
40238291	10.3390/ijerph22030317	PMC11941990	HPV Self-Sampling Promotion Among African American (AA) and Sub-Saharan African (SAI) Immigrant Women: Adaptation and Usability Testing.	International journal of environmental research and public health	2025	Adebola Adegboyega	https://pubmed.ncbi.nlm.nih.gov/40238291/
40209155	10.1097/lgt.0000000000000887	PMC12188802	Self-Collected Swabs for Primary HPV Screening in an Underscreened Population in Hawaii.	Journal of lower genital tract disease	2025	Anna Ung	https://pubmed.ncbi.nlm.nih.gov/40209155/
40132158	10.1177/21501319251320178	PMC11938895	General Practitioners' Needs and Preferences Regarding the Provision of Self-sampling Tests for Cervical Cancer Screening in Flanders, Belgium.	Journal of primary care & community health	2025	Eva Gezels	https://pubmed.ncbi.nlm.nih.gov/40132158/
40033233	10.1186/s12879-025-10714-y	PMC11877861	Comparative analysis of SD biosensor standard™ M10 HPV and seegene anyplex™ II HPV HR for detecting high-risk human papillomavirus: a concordance study.	BMC infectious diseases	2025	Abigail Rembui Jerip	https://pubmed.ncbi.nlm.nih.gov/40033233/
40007321	10.1002/cam4.70714	PMC11862107	Acceptability of Home-Based Urine Self-Collection for Cervical Cancer Screening Among Women Receiving Care at the Arab Community Center for Economic and Social Services in Michigan.	Cancer medicine	2025	Timothy C Guetterman	https://pubmed.ncbi.nlm.nih.gov/40007321/
39985216	10.1080/07853890.2025.2468261	PMC11849012	Factors affecting cervical cancer screening and human papilloma virus vaccination among Middle Eastern refugee women in Türkiye: indicators for social workers and nurses.	Annals of medicine	2025	Yaser Snoubar	https://pubmed.ncbi.nlm.nih.gov/39985216/
39982254	10.1097/lgt.0000000000000885	PMC11939108	Self-Collected Vaginal Specimens for HPV Testing: Recommendations From the Enduring Consensus Cervical Cancer Screening and Management Guidelines Committee.	Journal of lower genital tract disease	2025	Nicolas Wentzensen	https://pubmed.ncbi.nlm.nih.gov/39982254/
39970849	10.1016/j.canep.2025.102776		Analysis of time trends of prevalence of high-risk HPV infections, high grade cervical precancer and cervical cancer disease in women from Eastern India over 20 years - Pooled analysis from three studies.	Cancer epidemiology	2025	Sreeya Bose	https://pubmed.ncbi.nlm.nih.gov/39970849/
39970046	10.1177/21501319251320172	PMC11840851	Assessing the Acceptability of a Vaginal Self-Sampling Device in a Rural Parish of Cuenca, Ecuador.	Journal of primary care & community health	2025	Dayanara Delgado López	https://pubmed.ncbi.nlm.nih.gov/39970046/
39934916	10.1186/s13690-024-01490-3	PMC11818055	Home-based urinary HPV self-sampling for the detection of cervical cancer precursor lesions: attitudes and preferences from Belgian females participating in the CASUS study.	Archives of public health = Archives belges de sante publique	2025	Jhana O Hendrickx	https://pubmed.ncbi.nlm.nih.gov/39934916/
39857972	10.3390/cancers17020190	PMC11763979	Beliefs and Perceptions in Attending the Cervical Screening: The COMUNISS Project Experience.	Cancers	2025	Narcisa Muresu	https://pubmed.ncbi.nlm.nih.gov/39857972/
39835785	10.1177/09564624251315787	PMC11964840	High unmet needs for cervical cancer screening among women living with HIV in six African countries: A population-based study.	International journal of STD & AIDS	2025	Annabelle D Alpar	https://pubmed.ncbi.nlm.nih.gov/39835785/
39727713	10.3390/curroncol31120590	PMC11674614	Breaking Barriers: Empowering Cervical Cancer Screening with HPV Self-Sampling for Sex Workers and Formerly Incarcerated Women in Toronto.	Current oncology (Toronto, Ont.)	2024	Mandana Vahabi	https://pubmed.ncbi.nlm.nih.gov/39727713/
39682257	10.3390/cancers16234071	PMC11640733	Addressing COVID-19 Screening Delays: The Impact of HPV Self-Sampling on Non-Attenders in a Cervical Cancer Screening Program.	Cancers	2024	Angela Chiereghin	https://pubmed.ncbi.nlm.nih.gov/39682257/
39681893	10.1186/s44263-024-00038-5	PMC11622906	Women's cellphone access and ownership in rural Uganda: implications for self-care interventions.	BMC global and public health	2024	Willow Leahy	https://pubmed.ncbi.nlm.nih.gov/39681893/
39666756	10.1371/journal.pmed.1004494	PMC11637256	Human papillomavirus genotype and cycle threshold value from self-samples and risk of high-grade cervical lesions: A post hoc analysis of a modified stepped-wedge implementation feasibility trial.	PLoS medicine	2024	Jiayao Lei	https://pubmed.ncbi.nlm.nih.gov/39666756/
39665400	10.1177/00333549241299272	PMC11638924	Self-Collection for HPV-Based Cervical Screening: Knowledge and Attitudes of Australian Health Care Workers in an Area With Low Screening Rates, July-November 2023.	Public health reports (Washington, D.C. : 1974)	2026	Elvin Cheng	https://pubmed.ncbi.nlm.nih.gov/39665400/
39579017	10.1002/ijc.35263	PMC11826108	Participation and relative cost of attendance by direct-mail compared to opt-in invitation strategy for HPV self-sampling targeting cervical screening non-attenders: A large-scale, randomized, pragmatic study.	International journal of cancer	2025	Birgitte Tønnes Pedersen	https://pubmed.ncbi.nlm.nih.gov/39579017/
39559277	10.1016/j.xagr.2024.100414	PMC11570521	Rural women's preferences for cervical cancer screening via HPV self-sampling: a discrete choice experiment study in chidamoyo, Hurungwe District, Zimbabwe.	AJOG global reports	2024	Mathias Dzobo	https://pubmed.ncbi.nlm.nih.gov/39559277/
39545880	10.1016/j.annemergmed.2024.10.002		Self-Collection for Primary HPV Testing: Acceptability in a Large Urban Emergency Department.	Annals of emergency medicine	2025	Itunu O Sokale	https://pubmed.ncbi.nlm.nih.gov/39545880/
39545399	10.1111/phn.13490	PMC11895413	Determinants of Cervical Cancer Screening Among Rural Women in Zimbabwe.	Public health nursing (Boston, Mass.)	2025	Paddington T Mundagowa	https://pubmed.ncbi.nlm.nih.gov/39545399/
39516742	10.1186/s12885-024-13113-9	PMC11545337	Cervical precancer screening using self-sampling, HPV DNA testing, and mobile colposcopy in a hard-to-reach community in Ghana: a pilot study.	BMC cancer	2024	Kofi Effah	https://pubmed.ncbi.nlm.nih.gov/39516742/
39510380	10.1016/j.jcpo.2024.100513		Strategies and implementation outcomes of HPV-based cervical screening studies to prevent cervical cancer in India: A systematic review.	Journal of cancer policy	2024	Anu Mary Oommen	https://pubmed.ncbi.nlm.nih.gov/39510380/
39493836	10.1016/j.lana.2024.100901	PMC11530915	On the path toward cervical cancer elimination in Canada: a national survey of factors influencing women's intentions to participate in human papillomavirus test-based primary cervical screening.	Lancet regional health. Americas	2024	Ovidiu Tatar	https://pubmed.ncbi.nlm.nih.gov/39493836/
39474856	10.1177/17455057241292693	PMC11526275	An outreach strategy to increase uptake of vaginal self-sampling for cervical cancer screening in older French women: The RIDECA interventional research protocol.	Women's health (London, England)	2024	Olivier Lareyre	https://pubmed.ncbi.nlm.nih.gov/39474856/
39445831	10.1158/1055-9965.epi-24-0999	PMC11717618	A Mail-Based HPV Self-Collection Program to Increase Cervical Cancer Screening in Appalachia: Results of a Group Randomized Trial.	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	2025	Paul L Reiter	https://pubmed.ncbi.nlm.nih.gov/39445831/
39429813	10.1016/j.eclinm.2024.102672	PMC11490653	Opportunistic offering of self-sampling to non-attenders within the English cervical screening programme: a pragmatic, multicentre, implementation feasibility trial with randomly allocated cluster intervention start dates (YouScreen).	EClinicalMedicine	2024	Anita W W Lim	https://pubmed.ncbi.nlm.nih.gov/39429813/
39421164	10.3332/ecancer.2024.1739	PMC11484669	Prevalence of human papillomaviruses in self-collected samples among women attending antenatal care in Ethiopia: a cross-sectional study.	Ecancermedicalscience	2024	Isabel Runge	https://pubmed.ncbi.nlm.nih.gov/39421164/
39412108	10.1002/ijc.35222	PMC11737002	Acceptability and validity of HPV self-sampling for cervical cancer screening among women living in different ecological settings in India.	International journal of cancer	2025	Gauravi A Mishra	https://pubmed.ncbi.nlm.nih.gov/39412108/
39398714	10.7759/cureus.69169	PMC11468890	Cervical Cancer Prevention Among Rural Women in Gujarat, India: A Mixed Methods Study on Risk Factors and KAP (Knowledge, Attitude and Practice).	Cureus	2024	Rohankumar Gandhi	https://pubmed.ncbi.nlm.nih.gov/39398714/
41445902	10.1055/s-0044-1791523	PMC12727005	Roadmap to Success: Illustrating Insights from a KAP Study on Cervical Cancer Prevention and HPV Vaccination.	South Asian journal of cancer	2025	Priya Ganeshkumar	https://pubmed.ncbi.nlm.nih.gov/41445902/
39345697	10.1017/cts.2024.604	PMC11428071	Factors associated with clinician willingness to adopt HPV self-sampling and self-testing for cervical cancer screening.	Journal of clinical and translational science	2024	Luke Brennan	https://pubmed.ncbi.nlm.nih.gov/39345697/
39273727	10.3390/healthcare12171704	PMC12045144	Experiences and Perceptions of Cervical Cancer Screening Using Self-Sampling among Under-Screened Women in Flanders.	Healthcare (Basel, Switzerland)	2024	Charlotte Buelens	https://pubmed.ncbi.nlm.nih.gov/39273727/
39257941	10.3389/fpubh.2024.1430968	PMC11384595	HPV self-sampling implementation strategies to engage under screened communities in cervical cancer screening: a scoping review to inform screening programs.	Frontiers in public health	2024	Madison M Fullerton	https://pubmed.ncbi.nlm.nih.gov/39257941/
39256726	10.1186/s12889-024-19881-0	PMC11384711	Invitation strategy of vaginal HPV self-sampling to improve participation in cervical cancer screening: a systematic review and meta-analysis of randomized trials.	BMC public health	2024	Ho Yan Wong	https://pubmed.ncbi.nlm.nih.gov/39256726/
39235543	10.1007/s10900-024-01401-1	4838063	Evaluation of Human Papillomavirus Vaccination and Cancer Prevention Behaviors among LGBTQI + Individuals: A Cross-Sectional Study.	Journal of community health	2025	Sanjana K Rana	https://pubmed.ncbi.nlm.nih.gov/39235543/
39195300	10.3390/curroncol31080317	PMC11352920	HPV Self-Sampling for Cervical Cancer Screening in Under-Screened Saskatchewan Populations: A Pilot Study.	Current oncology (Toronto, Ont.)	2024	Erin Vink	https://pubmed.ncbi.nlm.nih.gov/39195300/
39109609	10.1097/gco.0000000000000979		Enhancing equity in cervical screening - initiatives to increase screening participation.	Current opinion in obstetrics & gynecology	2024	Telma Costa	https://pubmed.ncbi.nlm.nih.gov/39109609/
39102732	10.1111/hex.13961	PMC10771801	The acceptability of, and informational needs related to, self-collection cervical screening among women of Indian descent living in Victoria, Australia: A qualitative study.	Health expectations : an international journal of public participation in health care and health policy	2024	Ana Machado Colling	https://pubmed.ncbi.nlm.nih.gov/39102732/
39043209	10.1002/cam4.70033	PMC11265801	A qualitative assessment of the acceptability of human papillomavirus self-sampling and informational materials among diverse populations.	Cancer medicine	2024	Amanda F Petrik	https://pubmed.ncbi.nlm.nih.gov/39043209/
38985535	10.1097/phh.0000000000001913	PMC11265986	Self-Collection for HPV Testing: Potential Issues Related to Performance Measures and Quality Improvement Among Federally Qualified Health Centers.	Journal of public health management and practice : JPHMP	2024	Amanda Le	https://pubmed.ncbi.nlm.nih.gov/38985535/
38977179	10.1016/j.cct.2024.107617		The ESSAG-trial protocol: A randomized controlled trial evaluating the efficacy of offering a self-sampling kit by the GP to reach women underscreened in the routine cervical cancer screening program.	Contemporary clinical trials	2024	Eva Gezels	https://pubmed.ncbi.nlm.nih.gov/38977179/
38960815	10.1016/j.whi.2024.05.005		Health Care Provider Willingness to Recommend Self-collected Tests for Human Papillomavirus: A Mixed Methods Examination of Associated Factors.	Women's health issues : official publication of the Jacobs Institute of Women's Health	2024	Holly B Fontenot	https://pubmed.ncbi.nlm.nih.gov/38960815/
38953514	10.1111/hex.14118	PMC11217896	Experiences of Self-Sampling and Future Screening Preferences in Non-Attenders Who Returned an HPV Vaginal Self-Sample in the YouScreen Study: Findings From a Cross-Sectional Questionnaire.	Health expectations : an international journal of public participation in health care and health policy	2024	Hannah Drysdale	https://pubmed.ncbi.nlm.nih.gov/38953514/
38871762	10.1038/s41598-024-64462-1	PMC11176183	Cervical cancer screening and vaccination acceptability and attitudes among Arab American women in Southeastern Michigan: a qualitative study.	Scientific reports	2024	Lilah Khoja	https://pubmed.ncbi.nlm.nih.gov/38871762/
38864276	10.1089/jwh.2024.0284	PMC11995255	Building Capacity for Cervical Cancer Prevention in U.S.-Affiliated Pacific Islands: The Pacific Against Cervical Cancer Project.	Journal of women's health (2002)	2024	Jin Qin	https://pubmed.ncbi.nlm.nih.gov/38864276/
38827925	10.2147/ijwh.s455118	PMC11143988	"""Barriers and Advantages of Self-Sampling Tests, for HPV Diagnosis: A Qualitative Field Experience Before Implementation in a Rural Community in Ecuador""."	International journal of women's health	2024	Bernardo Vega-Crespo	https://pubmed.ncbi.nlm.nih.gov/38827925/
